date,count
2015-11-15,3
2015-11-16,4
2015-11-17,4
2015-11-18,7
2015-11-19,2
2015-11-20,2
2015-11-21,13
2015-11-22,3
2015-11-23,1
2015-11-24,6
2015-11-25,9
2015-11-26,6
2015-11-27,3
2015-11-28,3
2015-11-30,5
2015-12-01,5
2015-12-02,2
2015-12-03,4
2015-12-04,5
2015-12-05,4
2015-12-06,2
2015-12-07,2
2015-12-08,4
2015-12-09,1
2015-12-10,1
2015-12-11,2
2015-12-12,1
2015-12-13,1
2015-12-14,2
2015-12-15,13
2015-12-16,9
2015-12-17,5
2015-12-18,7
2015-12-19,3
2015-12-21,1
2015-12-22,2
2015-12-26,1
2015-12-28,1
2015-12-29,28
2015-12-30,810
2015-12-31,717
2016-01-02,1462
2016-01-03,1461
2016-01-04,889
2016-01-05,399
2016-01-06,100
2016-01-07,8
2016-01-08,10
2016-01-09,1
2016-01-10,1
2016-01-11,12
2016-01-12,5
2016-01-13,19
2016-01-14,13
2016-01-15,7
2016-01-16,3
2016-01-18,21
2016-01-19,1111
2016-01-20,3418
2016-01-21,2850
2016-01-22,709
2016-01-23,5
2016-01-24,3
2016-01-25,5
2016-01-26,10
2016-01-27,2
2016-01-28,4
2016-01-30,1
2016-01-31,3
2016-02-02,2
2016-02-03,5
2016-02-04,3
2016-02-05,2
2016-02-06,2
2016-02-07,4
2016-02-08,2
2016-02-09,5
2016-02-10,6
2016-02-11,5
2016-02-12,5
2016-02-13,7
2016-02-14,6
2016-02-15,6
2016-02-16,14
2016-02-17,995
2016-02-18,2382
2016-02-19,1862
2016-02-20,594
2016-02-21,63
2016-02-22,16
2016-02-23,8
2016-02-24,15
2016-02-25,11
2016-02-26,8
2016-02-27,5
2016-02-28,7
2016-02-29,15
2016-03-01,10
2016-03-02,623
2016-03-03,1815
2016-03-04,2027
2016-03-05,1151
2016-03-06,274
2016-03-07,107
2016-03-08,32
2016-03-09,10
2016-03-10,7
2016-03-11,8
2016-03-13,1
2016-03-14,4
2016-03-15,3
2016-03-16,4
2016-03-17,8
2016-03-18,3
2016-03-20,17
2016-03-21,6
2016-03-22,3
2016-03-23,5
2016-03-24,6
2016-03-26,3
2016-03-27,2
2016-03-29,10
2016-03-30,1
2016-03-31,4
2016-04-01,5
2016-04-02,1
2016-04-03,28
2016-04-04,2
2016-04-05,7
2016-04-06,12
2016-04-07,21
2016-04-08,12
2016-04-09,5
2016-04-11,7
2016-04-12,11
2016-04-13,17
2016-04-14,7
2016-04-15,5
2016-04-16,9
2016-04-17,4
2016-04-18,4
2016-04-19,4
2016-04-20,4
2016-04-21,3
2016-04-22,4
2016-04-23,1
2016-04-25,9
2016-04-26,4
2016-04-27,5
2016-04-28,7
2016-04-29,4
2016-04-30,3
2016-05-01,3
2016-05-02,9
2016-05-03,5
2016-05-04,6
2016-05-05,2
2016-05-06,5
2016-05-07,1
